iter	Passed	Remaining
169	9254	17965
170	9321	17934
171	9383	17894
172	9451	17865
173	9519	17835
174	9584	17799
175	9649	17762
176	9667	17641
177	9727	17596
178	9792	17560
179	9857	17524
180	9922	17487
181	9983	17444
182	10047	17404
183	10111	17365
184	10176	17328
185	10239	17286
186	10311	17258
187	10375	17218
188	10438	17176
189	10503	17137
190	10569	17099
191	10634	17058
192	10699	17019
193	10759	16971
194	10822	16927
195	10882	16878
196	10942	16831
197	11003	16782
198	11070	16744
199	11138	16707
200	11202	16664
201	11268	16623
202	11330	16577
203	11394	16532
204	11465	16499
205	11531	16457
206	11597	16416
207	11662	16372
208	11727	16329
209	11794	16288
210	11853	16235
211	11922	16196
212	12050	16236
213	12162	16254
214	12221	16200
215	12280	16146
216	12347	16102
217	12410	16054
218	12478	16011
219	12538	15958
220	12602	15909
221	12667	15863
222	12727	15809
223	12789	15759
224	12852	15708
225	12910	15652
226	12973	15602
227	13030	15545
228	13091	15492
229	13152	15440
230	13211	15385
231	13281	15342
232	13337	15283
233	13395	15227
234	13458	15176
235	13522	15127
236	13587	15077
237	13648	15024
238	13714	14976
239	13777	14925
240	13837	14871
241	13899	14818
242	13961	14766
243	14030	14720
244	14092	14667
245	14156	14617
246	14217	14562
247	14278	14509
248	14337	14453
249	14398	14398
250	14462	14347
251	14533	14302
252	14594	14248
253	14657	14195
254	14716	14139
255	14781	14088
256	14844	14035
257	14906	13982
258	14969	13928
259	15026	13870
260	15087	13815
261	15152	13764
262	15214	13710
263	15277	13657
264	15342	13605
265	15407	13553
266	15474	13504
267	15536	13449
268	15599	13395
269	15658	13338
270	15723	13286
271	15789	13235
272	15851	13180
273	15911	13123
274	15983	13077
275	16051	13027
276	16111	12970
277	16174	12916
278	16237	12862
279	16301	12808
280	16358	12749
281	16420	12693
282	16478	12635
283	16542	12581
284	16604	12526
285	16661	12467
286	16721	12410
287	16778	12351
288	16836	12292
289	16897	12236
290	16959	12180
291	17027	12129
292	17086	12071
293	17162	12025
294	17237	11978
295	17307	11927
296	17363	11867
297	17432	11816
298	17495	11760
299	17567	11711
300	17629	11655
301	17697	11603
302	17768	11552
303	17841	11503
304	17912	11452
305	17975	11396
306	18038	11340
307	18101	11283
308	18164	11227
309	18234	11175
310	18302	11122
311	18368	11068
312	18438	11015
313	18506	10962
314	18571	10907
315	18636	10851
316	18702	10796
317	18765	10739
318	18833	10685
319	18903	10633
320	18967	10576
321	19040	10525
322	19105	10469
323	19170	10413
324	19237	10358
325	19299	10300
326	19358	10241
327	19423	10185
328	19491	10130
329	19556	10074
330	19622	10018
331	19686	9961
332	19755	9907
333	19817	9849
334	19881	9792
335	19944	9734
336	20006	9676
337	20070	9619
338	20134	9562
339	20200	9506
340	20263	9448
341	20325	9389
342	20389	9333
343	20451	9274
344	20519	9219
345	20581	9160
346	20641	9101
347	20704	9043
348	20764	8983
349	20821	8923
350	20882	8864
351	20947	8807
352	21011	8749
353	21069	8689
354	21137	8633
355	21194	8573
356	21260	8516
357	21319	8456
358	21385	8399
359	21448	8341
360	21510	8282
361	21580	8226
362	21643	8168
363	21704	8109
364	21768	8051
365	21833	7993
366	21896	7935
367	21960	7877
368	22025	7819
369	22086	7760
370	22145	7700
371	22207	7641
372	22266	7581
373	22329	7522
374	22396	7465
375	22458	7406
376	22519	7347
377	22579	7287
378	22647	7230
379	22705	7170
380	22767	7111
381	22828	7051
382	22889	6992
383	22950	6933
384	23007	6872
385	23070	6813
386	23131	6754
387	23194	6695
388	23260	6637
389	23324	6578
390	23385	6519
391	23444	6459
392	23507	6400
393	23577	6343
394	23639	6283
395	23705	6225
396	23769	6166
397	23830	6107
398	23895	6048
399	23957	5989
